country,year,liters,value,name
Africa do Sul,1970,0,0,South Africa
Alemanha,1970,52297,30498,Germany
Argélia,1970,0,0,Algeria
Arábia Saudita,1970,0,0,Saudi Arabia
Argentina,1970,19525,12260,Argentina
Austrália,1970,0,0,Australia
Áustria,1970,1328,707,Austria
Bélgica,1970,0,0,Belgium
Bolívia,1970,0,0,Bolivia
Brasil,1970,0,0,Brazil
Bulgária,1970,0,0,Bulgaria
Canada,1970,0,0,
Chile,1970,162370,101819,Chile
China,1970,0,0,China
"Coreia do Sul, República",1970,0,0,
Croácia,1970,0,0,Croatia
Emirados Árabes Unidos,1970,0,0,United Arab Emirates
Eslovênia,1970,0,0,Slovenia
Eslováquia,1970,0,0,Slovakia
Espanha,1970,261126,90159,Spain
Estados Unidos,1970,0,0,United States
França,1970,91544,78135,France
Geórgia,1970,0,0,Georgia
Grécia,1970,0,0,Greece
Hungria,1970,0,0,Hungary
Indonesia,1970,0,0,
Irlanda,1970,0,0,Ireland
Israel,1970,0,0,Israel
Itália,1970,58802,32376,Italy
Japão,1970,0,0,Japan
Iugoslavia,1970,702,326,
Líbano,1970,0,0,Lebanon
Luxemburgo,1970,0,0,Luxembourg
Macedônia,1970,0,0,Macedonia
Marrocos,1970,0,0,Morocco
México,1970,0,0,Mexico
Montenegro,1970,0,0,Montenegro
Noruega,1970,0,0,Norway
Nova Zelândia,1970,0,0,New Zealand
Paises Baixos (Holanda),1970,0,0,
Panamá,1970,0,0,Panama
Peru,1970,0,0,Peru
Porto Rico,1970,0,0,Puerto Rico
Portugal,1970,785609,531480,Portugal
Reino Unido,1970,0,0,United Kingdom
Republica Dominicana,1970,0,0,
Romênia,1970,0,0,Romania
Rússia,1970,0,0,Russia
Síria,1970,0,0,Syria
Suíça,1970,0,0,Switzerland
Tunísia,1970,0,0,Tunisia
Turquia,1970,0,0,Turkey
Ucrânia,1970,0,0,Ukraine
Uruguai,1970,5767,1871,Uruguay
Não consta na tabela,1970,0,0,
Não declarados,1970,0,0,
Outros,1970,5508,4255,
Africa do Sul,1971,0,0,South Africa
Alemanha,1971,34606,26027,Germany
Argélia,1971,0,0,Algeria
Arábia Saudita,1971,0,0,Saudi Arabia
Argentina,1971,24942,15022,Argentina
Austrália,1971,0,0,Australia
Áustria,1971,0,0,Austria
Bélgica,1971,0,0,Belgium
Bolívia,1971,0,0,Bolivia
Brasil,1971,0,0,Brazil
Bulgária,1971,0,0,Bulgaria
Canada,1971,0,0,
Chile,1971,74406,52240,Chile
China,1971,0,0,China
"Coreia do Sul, República",1971,0,0,
Croácia,1971,0,0,Croatia
Emirados Árabes Unidos,1971,0,0,United Arab Emirates
Eslovênia,1971,0,0,Slovenia
Eslováquia,1971,0,0,Slovakia
Espanha,1971,140507,50191,Spain
Estados Unidos,1971,915,190,United States
França,1971,88714,72978,France
Geórgia,1971,0,0,Georgia
Grécia,1971,0,0,Greece
Hungria,1971,0,0,Hungary
Indonesia,1971,0,0,
Irlanda,1971,0,0,Ireland
Israel,1971,0,0,Israel
Itália,1971,108409,56377,Italy
Japão,1971,0,0,Japan
Iugoslavia,1971,640,375,
Líbano,1971,0,0,Lebanon
Luxemburgo,1971,0,0,Luxembourg
Macedônia,1971,0,0,Macedonia
Marrocos,1971,0,0,Morocco
México,1971,0,0,Mexico
Montenegro,1971,0,0,Montenegro
Noruega,1971,0,0,Norway
Nova Zelândia,1971,0,0,New Zealand
Paises Baixos (Holanda),1971,0,0,
Panamá,1971,0,0,Panama
Peru,1971,0,0,Peru
Porto Rico,1971,0,0,Puerto Rico
Portugal,1971,897310,620790,Portugal
Reino Unido,1971,0,0,United Kingdom
Republica Dominicana,1971,0,0,
Romênia,1971,0,0,Romania
Rússia,1971,0,0,Russia
Síria,1971,0,0,Syria
Suíça,1971,0,0,Switzerland
Tunísia,1971,0,0,Tunisia
Turquia,1971,0,0,Turkey
Ucrânia,1971,0,0,Ukraine
Uruguai,1971,1917,636,Uruguay
Não consta na tabela,1971,0,0,
Não declarados,1971,0,0,
Outros,1971,77789,42028,
Africa do Sul,1972,0,0,South Africa
Alemanha,1972,134438,92103,Germany
Argélia,1972,0,0,Algeria
Arábia Saudita,1972,0,0,Saudi Arabia
Argentina,1972,104906,58137,Argentina
Austrália,1972,0,0,Australia
Áustria,1972,353,520,Austria
Bélgica,1972,0,0,Belgium
Bolívia,1972,0,0,Bolivia
Brasil,1972,0,0,Brazil
Bulgária,1972,0,0,Bulgaria
Canada,1972,0,0,
Chile,1972,161736,95654,Chile
China,1972,0,0,China
"Coreia do Sul, República",1972,0,0,
Croácia,1972,0,0,Croatia
Emirados Árabes Unidos,1972,0,0,United Arab Emirates
Eslovênia,1972,0,0,Slovenia
Eslováquia,1972,0,0,Slovakia
Espanha,1972,300582,116710,Spain
Estados Unidos,1972,2156,1337,United States
França,1972,176688,173001,France
Geórgia,1972,0,0,Georgia
Grécia,1972,0,0,Greece
Hungria,1972,0,0,Hungary
Indonesia,1972,0,0,
Irlanda,1972,0,0,Ireland
Israel,1972,0,0,Israel
Itália,1972,142196,96943,Italy
Japão,1972,0,0,Japan
Iugoslavia,1972,1824,1137,
Líbano,1972,0,0,Lebanon
Luxemburgo,1972,0,0,Luxembourg
Macedônia,1972,0,0,Macedonia
Marrocos,1972,0,0,Morocco
México,1972,0,0,Mexico
Montenegro,1972,0,0,Montenegro
Noruega,1972,0,0,Norway
Nova Zelândia,1972,0,0,New Zealand
Paises Baixos (Holanda),1972,0,0,
Panamá,1972,0,0,Panama
Peru,1972,0,0,Peru
Porto Rico,1972,0,0,Puerto Rico
Portugal,1972,1650727,1226232,Portugal
Reino Unido,1972,0,0,United Kingdom
Republica Dominicana,1972,0,0,
Romênia,1972,0,0,Romania
Rússia,1972,0,0,Russia
Síria,1972,0,0,Syria
Suíça,1972,0,0,Switzerland
Tunísia,1972,0,0,Tunisia
Turquia,1972,0,0,Turkey
Ucrânia,1972,0,0,Ukraine
Uruguai,1972,7394,2741,Uruguay
Não consta na tabela,1972,0,0,
Não declarados,1972,0,0,
Outros,1972,79052,25032,
Africa do Sul,1973,0,0,South Africa
Alemanha,1973,111523,98638,Germany
Argélia,1973,0,0,Algeria
Arábia Saudita,1973,0,0,Saudi Arabia
Argentina,1973,116887,76121,Argentina
Austrália,1973,0,0,Australia
Áustria,1973,2310,2081,Austria
Bélgica,1973,0,0,Belgium
Bolívia,1973,0,0,Bolivia
Brasil,1973,0,0,Brazil
Bulgária,1973,0,0,Bulgaria
Canada,1973,0,0,
Chile,1973,301559,212140,Chile
China,1973,0,0,China
"Coreia do Sul, República",1973,0,0,
Croácia,1973,0,0,Croatia
Emirados Árabes Unidos,1973,0,0,United Arab Emirates
Eslovênia,1973,0,0,Slovenia
Eslováquia,1973,0,0,Slovakia
Espanha,1973,226805,117135,Spain
Estados Unidos,1973,0,0,United States
França,1973,259060,435641,France
Geórgia,1973,0,0,Georgia
Grécia,1973,0,0,Greece
Hungria,1973,0,0,Hungary
Indonesia,1973,0,0,
Irlanda,1973,0,0,Ireland
Israel,1973,0,0,Israel
Itália,1973,258754,186334,Italy
Japão,1973,0,0,Japan
Iugoslavia,1973,1251,813,
Líbano,1973,0,0,Lebanon
Luxemburgo,1973,0,0,Luxembourg
Macedônia,1973,0,0,Macedonia
Marrocos,1973,0,0,Morocco
México,1973,0,0,Mexico
Montenegro,1973,0,0,Montenegro
Noruega,1973,0,0,Norway
Nova Zelândia,1973,0,0,New Zealand
Paises Baixos (Holanda),1973,0,0,
Panamá,1973,0,0,Panama
Peru,1973,0,0,Peru
Porto Rico,1973,0,0,Puerto Rico
Portugal,1973,2818320,2238637,Portugal
Reino Unido,1973,0,0,United Kingdom
Republica Dominicana,1973,0,0,
Romênia,1973,0,0,Romania
Rússia,1973,0,0,Russia
Síria,1973,0,0,Syria
Suíça,1973,0,0,Switzerland
Tunísia,1973,0,0,Tunisia
Turquia,1973,0,0,Turkey
Ucrânia,1973,0,0,Ukraine
Uruguai,1973,0,0,Uruguay
Não consta na tabela,1973,0,0,
Não declarados,1973,0,0,
Outros,1973,4306,5775,
Africa do Sul,1974,0,0,South Africa
Alemanha,1974,219173,202502,Germany
Argélia,1974,0,0,Algeria
Arábia Saudita,1974,0,0,Saudi Arabia
Argentina,1974,215930,167473,Argentina
Austrália,1974,0,0,Australia
Áustria,1974,5301,7394,Austria
Bélgica,1974,0,0,Belgium
Bolívia,1974,0,0,Bolivia
Brasil,1974,0,0,Brazil
Bulgária,1974,0,0,Bulgaria
Canada,1974,0,0,
Chile,1974,550691,429885,Chile
China,1974,0,0,China
"Coreia do Sul, República",1974,0,0,
Croácia,1974,0,0,Croatia
Emirados Árabes Unidos,1974,0,0,United Arab Emirates
Eslovênia,1974,0,0,Slovenia
Eslováquia,1974,0,0,Slovakia
Espanha,1974,362577,215208,Spain
Estados Unidos,1974,0,0,United States
França,1974,316584,465175,France
Geórgia,1974,0,0,Georgia
Grécia,1974,0,0,Greece
Hungria,1974,0,0,Hungary
Indonesia,1974,0,0,
Irlanda,1974,0,0,Ireland
Israel,1974,0,0,Israel
Itália,1974,305763,278089,Italy
Japão,1974,0,0,Japan
Iugoslavia,1974,2520,1804,
Líbano,1974,0,0,Lebanon
Luxemburgo,1974,0,0,Luxembourg
Macedônia,1974,0,0,Macedonia
Marrocos,1974,0,0,Morocco
México,1974,0,0,Mexico
Montenegro,1974,0,0,Montenegro
Noruega,1974,0,0,Norway
Nova Zelândia,1974,0,0,New Zealand
Paises Baixos (Holanda),1974,0,0,
Panamá,1974,0,0,Panama
Peru,1974,0,0,Peru
Porto Rico,1974,0,0,Puerto Rico
Portugal,1974,2245288,1917710,Portugal
Reino Unido,1974,0,0,United Kingdom
Republica Dominicana,1974,0,0,
Romênia,1974,0,0,Romania
Rússia,1974,0,0,Russia
Síria,1974,0,0,Syria
Suíça,1974,0,0,Switzerland
Tunísia,1974,0,0,Tunisia
Turquia,1974,0,0,Turkey
Ucrânia,1974,0,0,Ukraine
Uruguai,1974,0,0,Uruguay
Não consta na tabela,1974,0,0,
Não declarados,1974,0,0,
Outros,1974,21501,28163,
Africa do Sul,1975,0,0,South Africa
Alemanha,1975,134354,149931,Germany
Argélia,1975,0,0,Algeria
Arábia Saudita,1975,0,0,Saudi Arabia
Argentina,1975,145823,90855,Argentina
Austrália,1975,0,0,Australia
Áustria,1975,8835,5560,Austria
Bélgica,1975,0,0,Belgium
Bolívia,1975,0,0,Bolivia
Brasil,1975,0,0,Brazil
Bulgária,1975,0,0,Bulgaria
Canada,1975,0,0,
Chile,1975,952233,764780,Chile
China,1975,0,0,China
"Coreia do Sul, República",1975,0,0,
Croácia,1975,0,0,Croatia
Emirados Árabes Unidos,1975,0,0,United Arab Emirates
Eslovênia,1975,0,0,Slovenia
Eslováquia,1975,0,0,Slovakia
Espanha,1975,174608,123102,Spain
Estados Unidos,1975,965,3761,United States
França,1975,191546,278746,France
Geórgia,1975,0,0,Georgia
Grécia,1975,0,0,Greece
Hungria,1975,0,0,Hungary
Indonesia,1975,0,0,
Irlanda,1975,0,0,Ireland
Israel,1975,0,0,Israel
Itália,1975,250541,244731,Italy
Japão,1975,0,0,Japan
Iugoslavia,1975,7969,5128,
Líbano,1975,0,0,Lebanon
Luxemburgo,1975,0,0,Luxembourg
Macedônia,1975,0,0,Macedonia
Marrocos,1975,0,0,Morocco
México,1975,0,0,Mexico
Montenegro,1975,0,0,Montenegro
Noruega,1975,0,0,Norway
Nova Zelândia,1975,0,0,New Zealand
Paises Baixos (Holanda),1975,0,0,
Panamá,1975,0,0,Panama
Peru,1975,0,0,Peru
Porto Rico,1975,0,0,Puerto Rico
Portugal,1975,2192004,1838430,Portugal
Reino Unido,1975,0,0,United Kingdom
Republica Dominicana,1975,0,0,
Romênia,1975,0,0,Romania
Rússia,1975,0,0,Russia
Síria,1975,0,0,Syria
Suíça,1975,0,0,Switzerland
Tunísia,1975,0,0,Tunisia
Turquia,1975,0,0,Turkey
Ucrânia,1975,0,0,Ukraine
Uruguai,1975,0,0,Uruguay
Não consta na tabela,1975,0,0,
Não declarados,1975,0,0,
Outros,1975,18132,13989,
Africa do Sul,1976,0,0,South Africa
Alemanha,1976,168134,171308,Germany
Argélia,1976,0,0,Algeria
Arábia Saudita,1976,0,0,Saudi Arabia
Argentina,1976,348653,277507,Argentina
Austrália,1976,0,0,Australia
Áustria,1976,0,0,Austria
Bélgica,1976,0,0,Belgium
Bolívia,1976,0,0,Bolivia
Brasil,1976,0,0,Brazil
Bulgária,1976,0,0,Bulgaria
Canada,1976,0,0,
Chile,1976,2175650,1574474,Chile
China,1976,0,0,China
"Coreia do Sul, República",1976,0,0,
Croácia,1976,0,0,Croatia
Emirados Árabes Unidos,1976,0,0,United Arab Emirates
Eslovênia,1976,0,0,Slovenia
Eslováquia,1976,0,0,Slovakia
Espanha,1976,52474,41000,Spain
Estados Unidos,1976,1800,2575,United States
França,1976,284613,423696,France
Geórgia,1976,0,0,Georgia
Grécia,1976,0,0,Greece
Hungria,1976,0,0,Hungary
Indonesia,1976,0,0,
Irlanda,1976,0,0,Ireland
Israel,1976,0,0,Israel
Itália,1976,304377,276633,Italy
Japão,1976,0,0,Japan
Iugoslavia,1976,2100,1870,
Líbano,1976,0,0,Lebanon
Luxemburgo,1976,0,0,Luxembourg
Macedônia,1976,0,0,Macedonia
Marrocos,1976,0,0,Morocco
México,1976,0,0,Mexico
Montenegro,1976,0,0,Montenegro
Noruega,1976,0,0,Norway
Nova Zelândia,1976,0,0,New Zealand
Paises Baixos (Holanda),1976,0,0,
Panamá,1976,0,0,Panama
Peru,1976,0,0,Peru
Porto Rico,1976,0,0,Puerto Rico
Portugal,1976,2284423,1872573,Portugal
Reino Unido,1976,0,0,United Kingdom
Republica Dominicana,1976,0,0,
Romênia,1976,0,0,Romania
Rússia,1976,0,0,Russia
Síria,1976,0,0,Syria
Suíça,1976,0,0,Switzerland
Tunísia,1976,0,0,Tunisia
Turquia,1976,0,0,Turkey
Ucrânia,1976,0,0,Ukraine
Uruguai,1976,0,0,Uruguay
Não consta na tabela,1976,0,0,
Não declarados,1976,0,0,
Outros,1976,10200,7884,
Africa do Sul,1977,0,0,South Africa
Alemanha,1977,160926,201840,Germany
Argélia,1977,0,0,Algeria
Arábia Saudita,1977,0,0,Saudi Arabia
Argentina,1977,408399,395615,Argentina
Austrália,1977,0,0,Australia
Áustria,1977,0,0,Austria
Bélgica,1977,0,0,Belgium
Bolívia,1977,0,0,Bolivia
Brasil,1977,0,0,Brazil
Bulgária,1977,0,0,Bulgaria
Canada,1977,0,0,
Chile,1977,2593464,1962448,Chile
China,1977,0,0,China
"Coreia do Sul, República",1977,0,0,
Croácia,1977,0,0,Croatia
Emirados Árabes Unidos,1977,0,0,United Arab Emirates
Eslovênia,1977,0,0,Slovenia
Eslováquia,1977,0,0,Slovakia
Espanha,1977,105667,98238,Spain
Estados Unidos,1977,2250,3275,United States
França,1977,322033,476983,France
Geórgia,1977,0,0,Georgia
Grécia,1977,0,0,Greece
Hungria,1977,0,0,Hungary
Indonesia,1977,0,0,
Irlanda,1977,0,0,Ireland
Israel,1977,0,0,Israel
Itália,1977,348461,349392,Italy
Japão,1977,0,0,Japan
Iugoslavia,1977,1764,1570,
Líbano,1977,0,0,Lebanon
Luxemburgo,1977,0,0,Luxembourg
Macedônia,1977,0,0,Macedonia
Marrocos,1977,0,0,Morocco
México,1977,0,0,Mexico
Montenegro,1977,0,0,Montenegro
Noruega,1977,0,0,Norway
Nova Zelândia,1977,0,0,New Zealand
Paises Baixos (Holanda),1977,0,0,
Panamá,1977,0,0,Panama
Peru,1977,0,0,Peru
Porto Rico,1977,0,0,Puerto Rico
Portugal,1977,2132582,1847604,Portugal
Reino Unido,1977,0,0,United Kingdom
Republica Dominicana,1977,0,0,
Romênia,1977,0,0,Romania
Rússia,1977,0,0,Russia
Síria,1977,0,0,Syria
Suíça,1977,0,0,Switzerland
Tunísia,1977,0,0,Tunisia
Turquia,1977,0,0,Turkey
Ucrânia,1977,0,0,Ukraine
Uruguai,1977,24191,33975,Uruguay
Não consta na tabela,1977,0,0,
Não declarados,1977,0,0,
Outros,1977,450,642,
Africa do Sul,1978,0,0,South Africa
Alemanha,1978,437831,668631,Germany
Argélia,1978,0,0,Algeria
Arábia Saudita,1978,0,0,Saudi Arabia
Argentina,1978,614134,709813,Argentina
Austrália,1978,0,0,Australia
Áustria,1978,600,386,Austria
Bélgica,1978,0,0,Belgium
Bolívia,1978,0,0,Bolivia
Brasil,1978,0,0,Brazil
Bulgária,1978,0,0,Bulgaria
Canada,1978,0,0,
Chile,1978,3742918,3415769,Chile
China,1978,0,0,China
"Coreia do Sul, República",1978,0,0,
Croácia,1978,0,0,Croatia
Emirados Árabes Unidos,1978,0,0,United Arab Emirates
Eslovênia,1978,0,0,Slovenia
Eslováquia,1978,0,0,Slovakia
Espanha,1978,87767,75364,Spain
Estados Unidos,1978,58050,67752,United States
França,1978,355292,633098,France
Geórgia,1978,0,0,Georgia
Grécia,1978,0,0,Greece
Hungria,1978,0,0,Hungary
Indonesia,1978,0,0,
Irlanda,1978,0,0,Ireland
Israel,1978,0,0,Israel
Itália,1978,250535,268114,Italy
Japão,1978,0,0,Japan
Iugoslavia,1978,1764,1630,
Líbano,1978,0,0,Lebanon
Luxemburgo,1978,0,0,Luxembourg
Macedônia,1978,0,0,Macedonia
Marrocos,1978,0,0,Morocco
México,1978,0,0,Mexico
Montenegro,1978,0,0,Montenegro
Noruega,1978,0,0,Norway
Nova Zelândia,1978,0,0,New Zealand
Paises Baixos (Holanda),1978,0,0,
Panamá,1978,0,0,Panama
Peru,1978,0,0,Peru
Porto Rico,1978,0,0,Puerto Rico
Portugal,1978,2763298,2706030,Portugal
Reino Unido,1978,0,0,United Kingdom
Republica Dominicana,1978,0,0,
Romênia,1978,0,0,Romania
Rússia,1978,0,0,Russia
Síria,1978,0,0,Syria
Suíça,1978,0,0,Switzerland
Tunísia,1978,0,0,Tunisia
Turquia,1978,0,0,Turkey
Ucrânia,1978,0,0,Ukraine
Uruguai,1978,32371,33900,Uruguay
Não consta na tabela,1978,0,0,
Não declarados,1978,0,0,
Outros,1978,1347,1210,
Africa do Sul,1979,0,0,South Africa
Alemanha,1979,433478,691404,Germany
Argélia,1979,0,0,Algeria
Arábia Saudita,1979,0,0,Saudi Arabia
Argentina,1979,646978,888941,Argentina
Austrália,1979,0,0,Australia
Áustria,1979,4250,3756,Austria
Bélgica,1979,0,0,Belgium
Bolívia,1979,0,0,Bolivia
Brasil,1979,0,0,Brazil
Bulgária,1979,0,0,Bulgaria
Canada,1979,0,0,
Chile,1979,4235991,4315227,Chile
China,1979,0,0,China
"Coreia do Sul, República",1979,0,0,
Croácia,1979,0,0,Croatia
Emirados Árabes Unidos,1979,0,0,United Arab Emirates
Eslovênia,1979,0,0,Slovenia
Eslováquia,1979,0,0,Slovakia
Espanha,1979,103825,92476,Spain
Estados Unidos,1979,32400,36360,United States
França,1979,458369,795004,France
Geórgia,1979,0,0,Georgia
Grécia,1979,0,0,Greece
Hungria,1979,0,0,Hungary
Indonesia,1979,0,0,
Irlanda,1979,0,0,Ireland
Israel,1979,0,0,Israel
Itália,1979,407274,562726,Italy
Japão,1979,0,0,Japan
Iugoslavia,1979,2100,2050,
Líbano,1979,0,0,Lebanon
Luxemburgo,1979,0,0,Luxembourg
Macedônia,1979,0,0,Macedonia
Marrocos,1979,0,0,Morocco
México,1979,0,0,Mexico
Montenegro,1979,0,0,Montenegro
Noruega,1979,0,0,Norway
Nova Zelândia,1979,0,0,New Zealand
Paises Baixos (Holanda),1979,0,0,
Panamá,1979,0,0,Panama
Peru,1979,0,0,Peru
Porto Rico,1979,0,0,Puerto Rico
Portugal,1979,2823760,3493450,Portugal
Reino Unido,1979,0,0,United Kingdom
Republica Dominicana,1979,0,0,
Romênia,1979,0,0,Romania
Rússia,1979,0,0,Russia
Síria,1979,0,0,Syria
Suíça,1979,0,0,Switzerland
Tunísia,1979,0,0,Tunisia
Turquia,1979,0,0,Turkey
Ucrânia,1979,0,0,Ukraine
Uruguai,1979,13320,22900,Uruguay
Não consta na tabela,1979,0,0,
Não declarados,1979,0,0,
Outros,1979,2411,2614,
Africa do Sul,1980,0,0,South Africa
Alemanha,1980,457033,704307,Germany
Argélia,1980,0,0,Algeria
Arábia Saudita,1980,0,0,Saudi Arabia
Argentina,1980,298471,479464,Argentina
Austrália,1980,0,0,Australia
Áustria,1980,2385,5878,Austria
Bélgica,1980,0,0,Belgium
Bolívia,1980,0,0,Bolivia
Brasil,1980,0,0,Brazil
Bulgária,1980,0,0,Bulgaria
Canada,1980,0,0,
Chile,1980,2568586,3199365,Chile
China,1980,0,0,China
"Coreia do Sul, República",1980,0,0,
Croácia,1980,0,0,Croatia
Emirados Árabes Unidos,1980,0,0,United Arab Emirates
Eslovênia,1980,0,0,Slovenia
Eslováquia,1980,0,0,Slovakia
Espanha,1980,111381,109277,Spain
Estados Unidos,1980,32400,36720,United States
França,1980,248038,508338,France
Geórgia,1980,0,0,Georgia
Grécia,1980,0,0,Greece
Hungria,1980,0,0,Hungary
Indonesia,1980,0,0,
Irlanda,1980,0,0,Ireland
Israel,1980,0,0,Israel
Itália,1980,217226,283635,Italy
Japão,1980,0,0,Japan
Iugoslavia,1980,0,0,
Líbano,1980,0,0,Lebanon
Luxemburgo,1980,0,0,Luxembourg
Macedônia,1980,0,0,Macedonia
Marrocos,1980,0,0,Morocco
México,1980,0,0,Mexico
Montenegro,1980,0,0,Montenegro
Noruega,1980,0,0,Norway
Nova Zelândia,1980,0,0,New Zealand
Paises Baixos (Holanda),1980,0,0,
Panamá,1980,0,0,Panama
Peru,1980,0,0,Peru
Porto Rico,1980,0,0,Puerto Rico
Portugal,1980,1601931,2146952,Portugal
Reino Unido,1980,0,0,United Kingdom
Republica Dominicana,1980,0,0,
Romênia,1980,0,0,Romania
Rússia,1980,0,0,Russia
Síria,1980,0,0,Syria
Suíça,1980,0,0,Switzerland
Tunísia,1980,0,0,Tunisia
Turquia,1980,0,0,Turkey
Ucrânia,1980,0,0,Ukraine
Uruguai,1980,8880,16800,Uruguay
Não consta na tabela,1980,0,0,
Não declarados,1980,0,0,
Outros,1980,10446,10543,
Africa do Sul,1981,0,0,South Africa
Alemanha,1981,707194,853830,Germany
Argélia,1981,0,0,Algeria
Arábia Saudita,1981,0,0,Saudi Arabia
Argentina,1981,131738,209173,Argentina
Austrália,1981,0,0,Australia
Áustria,1981,0,0,Austria
Bélgica,1981,0,0,Belgium
Bolívia,1981,0,0,Bolivia
Brasil,1981,0,0,Brazil
Bulgária,1981,0,0,Bulgaria
Canada,1981,0,0,
Chile,1981,1647720,2344875,Chile
China,1981,0,0,China
"Coreia do Sul, República",1981,0,0,
Croácia,1981,0,0,Croatia
Emirados Árabes Unidos,1981,0,0,United Arab Emirates
Eslovênia,1981,0,0,Slovenia
Eslováquia,1981,0,0,Slovakia
Espanha,1981,56316,59696,Spain
Estados Unidos,1981,28350,33443,United States
França,1981,303063,479427,France
Geórgia,1981,0,0,Georgia
Grécia,1981,0,0,Greece
Hungria,1981,0,0,Hungary
Indonesia,1981,0,0,
Irlanda,1981,0,0,Ireland
Israel,1981,0,0,Israel
Itália,1981,178772,222760,Italy
Japão,1981,0,0,Japan
Iugoslavia,1981,0,0,
Líbano,1981,0,0,Lebanon
Luxemburgo,1981,0,0,Luxembourg
Macedônia,1981,0,0,Macedonia
Marrocos,1981,0,0,Morocco
México,1981,0,0,Mexico
Montenegro,1981,0,0,Montenegro
Noruega,1981,0,0,Norway
Nova Zelândia,1981,0,0,New Zealand
Paises Baixos (Holanda),1981,0,0,
Panamá,1981,0,0,Panama
Peru,1981,0,0,Peru
Porto Rico,1981,0,0,Puerto Rico
Portugal,1981,933906,1271300,Portugal
Reino Unido,1981,0,0,United Kingdom
Republica Dominicana,1981,0,0,
Romênia,1981,0,0,Romania
Rússia,1981,0,0,Russia
Síria,1981,0,0,Syria
Suíça,1981,0,0,Switzerland
Tunísia,1981,0,0,Tunisia
Turquia,1981,0,0,Turkey
Ucrânia,1981,0,0,Ukraine
Uruguai,1981,0,0,Uruguay
Não consta na tabela,1981,0,0,
Não declarados,1981,0,0,
Outros,1981,17133,17869,
Africa do Sul,1982,0,0,South Africa
Alemanha,1982,996948,1126928,Germany
Argélia,1982,0,0,Algeria
Arábia Saudita,1982,0,0,Saudi Arabia
Argentina,1982,191972,264487,Argentina
Austrália,1982,0,0,Australia
Áustria,1982,0,0,Austria
Bélgica,1982,0,0,Belgium
Bolívia,1982,0,0,Bolivia
Brasil,1982,0,0,Brazil
Bulgária,1982,0,0,Bulgaria
Canada,1982,0,0,
Chile,1982,786016,1124272,Chile
China,1982,0,0,China
"Coreia do Sul, República",1982,0,0,
Croácia,1982,0,0,Croatia
Emirados Árabes Unidos,1982,0,0,United Arab Emirates
Eslovênia,1982,0,0,Slovenia
Eslováquia,1982,0,0,Slovakia
Espanha,1982,119748,104790,Spain
Estados Unidos,1982,40563,52983,United States
França,1982,313977,424752,France
Geórgia,1982,0,0,Georgia
Grécia,1982,0,0,Greece
Hungria,1982,0,0,Hungary
Indonesia,1982,0,0,
Irlanda,1982,0,0,Ireland
Israel,1982,0,0,Israel
Itália,1982,284440,322430,Italy
Japão,1982,0,0,Japan
Iugoslavia,1982,1350,1650,
Líbano,1982,0,0,Lebanon
Luxemburgo,1982,0,0,Luxembourg
Macedônia,1982,0,0,Macedonia
Marrocos,1982,0,0,Morocco
México,1982,0,0,Mexico
Montenegro,1982,0,0,Montenegro
Noruega,1982,0,0,Norway
Nova Zelândia,1982,0,0,New Zealand
Paises Baixos (Holanda),1982,0,0,
Panamá,1982,0,0,Panama
Peru,1982,0,0,Peru
Porto Rico,1982,0,0,Puerto Rico
Portugal,1982,1074983,1258983,Portugal
Reino Unido,1982,0,0,United Kingdom
Republica Dominicana,1982,0,0,
Romênia,1982,0,0,Romania
Rússia,1982,0,0,Russia
Síria,1982,0,0,Syria
Suíça,1982,0,0,Switzerland
